UNLV-ISRI OCR Word Accuracy Report Version 6.1
----------------------------------------------
     607   Words
      12   Misrecognized
   98.02%  Accuracy

Stopwords
   Count   Missed   %Right   Length
       2        0   100.00   gewinn
       1        0   100.00   globalaktien
       3        0   100.00   gmbh
       1        0   100.00   greven
       1        0   100.00   grevenbrücker
       1        0   100.00   großaktionäre
       1        0   100.00   grundkapital
       1        0   100.00   gründung
       1        0   100.00   gustav
       1        0   100.00   guten
       4        0   100.00   hagen
       1        0   100.00   halbzeug
       1        0   100.00   ham
       3        0   100.00   hamburg
       1        0   100.00   hamburger
       1        0   100.00   handel
       2        0   100.00   handels
       1        0   100.00   hannover
       1        0   100.00   hardy
       1        0   100.00   hat
       1        0   100.00   haus
       1        0   100.00   heinrich
       1        0   100.00   heinz
       1        0   100.00   hochwertiger
       1        0   100.00   hofen
       1        0   100.00   hubert
       1        0   100.00   hypotheken
       1        0   100.00   i.d.h
       1        0   100.00   im
       1        0   100.00   industrie
       1        0   100.00   infolge
       4        0   100.00   ing
       1        0   100.00   iserlohn
       1        0   100.00   ist
       1        0   100.00   jahresertrag
       3        0   100.00   je
       1        0   100.00   jr
       1        0   100.00   k
       1        0   100.00   kalkwerke
       4        0   100.00   kapital
       2        0   100.00   karl
       1        0   100.00   kfm
       1        0   100.00   kg
       1        0   100.00   konnten
       1        0   100.00   kreditbank
       2        0   100.00   krs
       1        0   100.00   kurs
       1        0   100.00   köln
       1        0   100.00   lendring
       1        0   100.00   lieferbar
       1        0   100.00   lieferforderungen
       1        0   100.00   loo
       1        0   100.00   lt.h
       1        0   100.00   löhne
       1        0   100.00   m
       6        0   100.00   main
       1        0   100.00   mannheim
       1        0   100.00   marktlage
       1        0   100.00   marx
       1        0   100.00   material
       1        0   100.00   maßgeblich
       2        0   100.00   merck
       1        0   100.00   mit
       1        0   100.00   montanin
       5        0   100.00   münchen
       1        0   100.00   nach
       2        0   100.00   namens
       1        0   100.00   namhafte
       1        0   100.00   nennwert
       1        0   100.00   neuenhofer
       1        0   100.00   neugründung
       1        0   100.00   neuordnung
       1        0   100.00   nom
       1        0   100.00   norddeutsche
       1        0   100.00   notierung
       1        0   100.00   novem
       3        0   100.00   nr
       1        0   100.00   nären
       1        0   100.00   okt
       1        0   100.00   oktober
       1        0   100.00   oppenheim
       1        0   100.00   opriba
       1        0   100.00   ordnungsnr.d
       1        0   100.00   organvertrag
       1        1     0.00   pachnicke
       1        0   100.00   poensgen
       1        0   100.00   produktion
       1        0   100.00   rechnungen
       1        0   100.00   reichelbräu
       2        0   100.00   rhein
       1        0   100.00   riekeberg
       1        0   100.00   rohstahl
       1        0   100.00   rudolf
       1        0   100.00   ruhr
       1        0   100.00   rund
       1        0   100.00   sa
       1        0   100.00   sal
       1        0   100.00   schulte
       1        0   100.00   schäfer
       1        0   100.00   seit
       1        0   100.00   sen
       1        0   100.00   september
       2        0   100.00   sich
       4        0   100.00   siegen
       1        0   100.00   sind
       1        1     0.00   sitz
       1        0   100.00   sm
       1        0   100.00   solbach
       1        0   100.00   sowohl
       2        0   100.00   st
       1        0   100.00   stabstahl
       1        0   100.00   stahleisen
       2        0   100.00   stahlwerke
       2        0   100.00   stammaktien
       3        0   100.00   stellv
       1        0   100.00   steuern
       1        0   100.00   stimme
       1        0   100.00   stimmrecht
       1        0   100.00   strickherdicke
       1        1     0.00   stuttart
       1        0   100.00   stückelung
       1        0   100.00   sämtliche
       1        0   100.00   süddeutsche
       1        0   100.00   thelemann
       1        1     0.00   thomée
       1        0   100.00   tigerzeugnissen
       1        0   100.00   triebel
       1        0   100.00   trinkaus
       1        0   100.00   trupbach
       1        0   100.00   tungs
       1        0   100.00   tätigkeitsgebiet
       1        0   100.00   u
       1        0   100.00   ultimo
       3        0   100.00   um
       1        0   100.00   umlaufvermögen
       1        0   100.00   umsatz
      11        0   100.00   und
       1        0   100.00   urspr
       1        0   100.00   v
       2        0   100.00   v.v
       1        0   100.00   van
       1        0   100.00   vereinigten
       1        0   100.00   verlust
       1        0   100.00   versand
       1        0   100.00   verwal
       4        0   100.00   von
       1        0   100.00   vorangegangenen
       1        0   100.00   vorräte
       4        0   100.00   vors
       1        0   100.00   vorstand
       1        0   100.00   vortrag
       2        0   100.00   waldthausen
       1        0   100.00   walzdraht
       1        0   100.00   walzwerksfer
       1        0   100.00   warm
       1        0   100.00   wechsel
       1        0   100.00   wer
       1        0   100.00   werk
       1        0   100.00   werke
       2        0   100.00   werksgruppe
       2        0   100.00   west
       1        0   100.00   westdeutsche
       1        0   100.00   westfalenbank
       1        0   100.00   westfälische
       1        0   100.00   wetzlar
       1        0   100.00   wiederum
       2        0   100.00   wilhelm
       1        0   100.00   wohnhäuser
       1        0   100.00   wohnstätten
       1        0   100.00   zahlstellen
       2        0   100.00   zu
       1        0   100.00   zuge
       1        0   100.00   zur
       2        0   100.00   über
