   Count  Suspect
       2        0   {0<\n>(}
       2        0   {0<\n>A}
       2        0   {0<\n>F}
       2        0   {0<\n>L}
      10        0   {0 %}
       8        0   {0 0}
       2        0   {0 2}
       2        0   {0 3}
       2        0   {0 6}
       1        0   {0 D}
       4        0   {0 S}
       1        0   {0%<\n>}
       4        0   {0)<\n>}
       2        0   {0.<\n>}
       2        0   {0. }
      12        0   {0.-}
       3        0   {00 }
       2        0   {00)}
      16        0   {00.}
      14        0   {000}
       2        0   {001}
       1        0   {00D}
       2        0   {01 }
       2        0   {02 }
       2        0   {020}
       2        0   {023}
       4        0   {03 }
       2        0   {051}
       2        0   {07 }
       1        0   {0DM}
       2        0   {1<\n>G}
       4        0   {1 -}
       4        0   {1 0}
       2        0   {1 3}
       2        0   {1 5}
       2        0   {1 7}
       2        0   {1 S}
       2        0   {1 a}
       2        0   {1)<\n>}
       2        0   {1.<\n>}
       4        0   {1.1}
       2        0   {10<\n>}
       4        0   {100}
       2        0   {107}
       4        0   {12.}
       2        0   {127}
       2        0   {14.}
       2        0   {144}
       4        0   {147}
       2        0   {15.}
       4        0   {150}
       2        0   {17.}
       2        0   {192}
       6        0   {194}
      28        0   {195}
       2        0   {1:1}
       2        0   {1a)}
       1        0   {2 %}
       2        0   {2 0}
       4        0   {2 2}
       2        0   {2 4}
       4        0   {2 5}
       2        0   {2 7}
       6        0   {2 8}
      10        0   {2 9}
       1        0   {2%<\n>}
       4        0   {2.1}
       2        0   {20<\n>}
      10        0   {20 }
       2        0   {21a}
       2        0   {23<\n>}
       2        0   {27 }
       2        0   {28 }
       2        0   {28.}
       2        0   {3<\n>A}
       2        0   {3<\n>J}
       2        0   {3 0}
       4        0   {3 1}
       2        0   {3 3}
       2        0   {3 5}
       4        0   {3 6}
       2        0   {3 8}
       4        0   {31.}
       2        0   {343}
       2        0   {367}
       2        0   {368}
       2        0   {37<\n>}
       2        0   {388}
       2        0   {4<\n>A}
       2        0   {4<\n>K}
       2        0   {4 %}
       2        0   {4 1}
       4        0   {4 3}
       2        0   {4 7}
       2        0   {4 8}
       2        0   {4.9}
       2        0   {40<\n>}
       2        0   {40 }
       2        0   {42 }
       2        0   {43<\n>}
       2        0   {44<\n>}
